,user,time,x,y,z
235,1,2024-10-22 03:55:00,0.938618,0.57477,0.637139
236,1,2024-10-22 03:56:00,2.030668,0.719122,0.887068
237,1,2024-10-22 03:57:00,2.550458,1.005149,1.367828
238,1,2024-10-22 03:58:00,3.250461,1.750727,1.854598
239,1,2024-10-22 03:59:00,3.086373,1.4386,1.731007
240,1,2024-10-22 04:00:00,2.157985,0.780754,1.347214
241,1,2024-10-22 04:01:00,2.207376,1.631352,1.17769
242,1,2024-10-22 04:02:00,1.687544,0.83538,1.148373
243,1,2024-10-22 04:03:00,2.203641,0.012668,1.579253
244,1,2024-10-22 04:04:00,2.476257,-0.376731,2.018559
245,1,2024-10-22 04:05:00,2.347232,-0.472665,2.144899
246,1,2024-10-22 04:06:00,2.543993,-0.633046,2.12191
247,1,2024-10-22 04:07:00,2.164813,-1.055348,2.03114
248,1,2024-10-22 04:08:00,1.699943,-1.788421,1.942306
249,1,2024-10-22 04:09:00,1.777939,-1.951985,1.752917
250,1,2024-10-22 04:10:00,1.928031,-2.297635,1.482012
251,1,2024-10-22 04:11:00,2.005413,-2.55193,1.338669
252,1,2024-10-22 04:12:00,1.712663,-2.358515,0.910155
253,1,2024-10-22 04:13:00,1.081305,-2.007474,0.251544
254,1,2024-10-22 04:14:00,0.173438,-2.003429,-0.238708
255,1,2024-10-22 04:15:00,-1.056815,-2.108665,-0.560155
256,1,2024-10-22 04:16:00,-1.929269,-2.370653,-0.88638
257,1,2024-10-22 04:17:00,-1.039428,-1.207135,-0.917975
258,1,2024-10-22 04:18:00,0.098026,-0.392182,-0.842708
259,1,2024-10-22 04:19:00,0.400682,-1.904596,-0.376116
260,1,2024-10-22 04:20:00,0.874982,-2.456665,0.607464
261,1,2024-10-22 04:21:00,1.030852,-2.470579,1.286892
262,1,2024-10-22 04:22:00,1.064494,-1.505112,1.175863
263,1,2024-10-22 04:23:00,0.347981,0.724347,-0.025203
264,1,2024-10-22 04:24:00,-1.061562,1.723647,-0.418753
265,1,2024-10-22 04:25:00,-1.490971,1.721926,0.648608
266,1,2024-10-22 04:26:00,-1.927952,0.654784,0.429006
267,1,2024-10-22 04:27:00,-0.759316,2.11556,0.144741
268,1,2024-10-22 04:28:00,-2.678544,3.16006,-0.986295
269,1,2024-10-22 04:29:00,-5.624921,2.748124,-1.975225
270,1,2024-10-22 04:30:00,-5.532114,2.958713,-2.237629
271,1,2024-10-22 04:31:00,-3.468522,3.335725,-2.138241
272,1,2024-10-22 04:32:00,-1.784754,3.468002,-2.045464
273,1,2024-10-22 04:33:00,-1.693218,-0.242046,-1.669397
274,1,2024-10-22 04:34:00,-0.019701,-1.91505,-0.859739
275,1,2024-10-22 04:35:00,-0.346158,-2.374055,-0.60933
276,1,2024-10-22 04:36:00,-1.078283,-1.566752,-0.463791
277,1,2024-10-22 04:37:00,-1.472855,-0.38158,-0.268309
278,1,2024-10-22 04:38:00,-1.487005,-0.335206,-0.397722
279,1,2024-10-22 04:39:00,-1.271539,-0.825008,-0.640212
280,1,2024-10-22 04:40:00,-1.087614,-1.219857,-0.89159
